did_it_really_arrived_oracle,did_it_really_arrived_without_oracle,execute_time_oracle,execute_time_without_oracle,expremint_index,fake_location,final_location_oracle,final_location_without_oracle,goal_location,metric-0,metric-1,metric-2,metric-3,move_base_status_finish_oracle,move_base_status_finish_without_oracle,real_location
True,True,15.463197946548462,16.79862403869629,0.0,"(-2.8262810722377134, -5.129532962063339)","(-1.373887907370104, -5.906283636232637)","(-1.4222397039203314, -5.910390619056473)","(-1.4269999999999996, -5.752000000000001)",39.0,56.67,2.2741862688620857,25.59,False,False,"(-2.2269999999999994, -5.602)"
True,True,19.627958059310913,22.40137314796448,0.0,"(-4.164910305135104, -4.1440573559690375)","(-4.506380097264774, -4.976854336506222)","(-4.461456130810193, -5.021681501705813)","(-4.427, -5.102)",18.0,46.75,1.1487324953806937,16.83,False,False,"(-4.226999999999999, -3.8520000000000003)"
False,False,38.119006156921394,43.32873296737671,0.0,"(-4.090994430276563, -3.8657819165279617)","(-1.1192404068345378, -4.431361013996263)","(-1.140458928104954, -4.458313790741368)","(-0.3769999999999998, -3.702)",196.0,200.09,23.45643204499289,328.87,False,False,"(-4.627, -5.002000000000001)"
True,True,33.46129608154297,36.45278406143189,0.0,"(-3.3576300746098733, -5.726164886542915)","(-4.509712678028666, -2.601295523097332)","(-4.4928488139841, -2.5816535796690445)","(-4.476999999999999, -2.6020000000000003)",133.0,132.68,12.29716423042066,62.0,False,False,"(-3.627, -5.8020000000000005)"
False,False,48.66957187652588,52.923691034317024,0.0,"(-5.262913050444411, -5.988713399405548)","(-3.7851837556603822, -4.9638015287153)","(-3.784760110465103, -4.963188130717881)","(-4.677, -1.6520000000000001)",0.0,0.0,0.0,0.0,True,True,"(-3.7769999999999997, -4.952)"
True,True,53.917309999465935,41.510568141937256,0.0,"(-5.136845861279186, -3.696260756309396)","(-4.20622503361637, -3.9267700926458433)","(-4.156114031864726, -3.9840774406425075)","(-4.077, -4.102)",0.0,0.0,0.0,0.0,False,False,"(-4.877, -3.2520000000000002)"
True,True,33.50803804397583,38.310359954833984,0.0,"(-0.47110951917788896, -1.9259501358103033)","(-1.2932754578905794, -4.551984057198505)","(-1.2745075030443438, -4.5522457157061)","(-1.2269999999999994, -4.502000000000001)",127.0,127.19,10.161200742041569,342.32,False,False,"(-0.5269999999999992, -2.0520000000000005)"
False,False,23.063971042633057,29.108150005340576,0.0,"(-3.9008095319229525, -0.9408808585669151)","(-2.4229995951752272, -3.3709728245277932)","(-2.459955019293261, -3.4092153181753435)","(-2.9769999999999994, -2.802)",95.0,93.67,9.844742818296933,54.46,False,False,"(-3.4769999999999994, -1.6520000000000001)"
True,True,68.14298510551454,54.174209117889404,0.0,"(-1.814831745960972, -6.1634634138772455)","(-0.6396289517357736, -3.4001211247787104)","(-0.5940474796606795, -3.4254105822413266)","(-0.7269999999999994, -3.5020000000000002)",122.0,20.88,0.4884649483755045,56.78,False,False,"(-2.0769999999999995, -5.752000000000001)"
False,False,50.58075881004334,58.980448961257935,0.0,"(-1.8915568152188464, -5.077985467869083)","(-0.4244156090894264, -4.607597861486433)","(-0.42741762187318777, -4.607628806204556)","(-1.2269999999999994, -6.102)",226.0,241.53,32.472718569173466,1013.99,True,True,"(-0.4269999999999996, -4.602)"
False,False,122.4142861366272,93.9984850883484,0.0,"(-4.1130386951179805, -5.750807919958884)","(-3.0456073576435467, -2.3374716946660032)","(-3.871601245111842, -2.271425774241654)","(-2.127, -3.452)",228.0,223.19,17.25850928157615,104.01,False,True,"(-4.177, -4.152)"
False,False,51.85065817832947,58.152004957199104,0.0,"(-5.360362853280748, -6.003602360153675)","(-3.8296218801070108, -5.4581830377849085)","(-3.8246665620969447, -5.457557738746624)","(-4.577, -3.652)",0.0,0.0,0.0,0.0,True,True,"(-3.827, -5.452)"
True,True,43.906642198562615,49.1554811000824,0.0,"(-0.3550070038696454, -4.959462218944618)","(-3.3731967168798827, -2.0734715278466327)","(-3.4052431916486525, -2.0353308329506756)","(-3.0269999999999997, -2.402)",223.0,218.72,26.066724200743874,279.93,False,False,"(-0.827, -4.702)"
False,False,38.955847978591926,42.45558595657349,0.0,"(-2.749777956196463, -1.7830063666939941)","(-2.4206553824013897, -1.9068752916240002)","(-2.420648350058437, -1.9068736423028372)","(-3.327, -5.252000000000001)",146.0,146.45,14.895139788705482,72.28,True,True,"(-2.4769999999999994, -1.952)"
False,False,48.9561619758606,38.312576055526726,0.0,"(-2.9600587045397235, -3.0719587814629414)","(-2.858469478399617, -6.146467199007871)","(-2.7727338186674455, -6.01562165138614)","(-0.9269999999999996, -5.752000000000001)",167.0,166.14,18.22585992448795,110.92,False,False,"(-4.627, -3.152)"
True,True,58.73028898239136,63.40246891975403,0.0,"(-3.976962310196866, -2.619221232829589)","(-1.1035607378684706, -2.3381901078915006)","(-1.1002851487096974, -2.3631793770567477)","(-1.1269999999999998, -2.3520000000000003)",316.0,314.62,40.72316155427918,524.33,False,False,"(-4.026999999999999, -2.5020000000000002)"
True,True,38.20486402511597,40.190975904464715,0.0,"(-4.8947433340489415, -4.211880695230581)","(-3.3560774061071714, -3.363039814058126)","(-3.289465539055701, -3.2930865261250135)","(-3.5269999999999997, -3.552)",0.0,25.03,1.0834158845057489,7.22,False,False,"(-4.476999999999999, -3.902)"
True,True,53.56221008300781,56.30298709869385,0.0,"(-0.9306313208749409, -2.779084858497771)","(-4.5390836036158655, -5.961558265590538)","(-4.385693425238051, -5.732816727179888)","(-4.677, -6.002000000000001)",252.0,249.66,25.22924083700715,426.69,False,False,"(-0.6269999999999998, -2.402)"
False,False,54.328819036483765,68.92157912254333,0.0,"(-0.5534365133132753, -4.117904886541626)","(-3.816841407886673, -1.125401128752)","(-3.6290166395150143, -1.3666607080153392)","(-2.877, -2.202)",239.0,239.63,30.16313870712923,289.87,False,False,"(-1.0769999999999995, -2.7520000000000002)"
